Metric,Min,Max,Weight,Classification,,,,
agg_HHpBLD,0,1,1,Rural,,,,
agg_HHpBLD,0,0.5,1,Rural Town,,,,
agg_HHpBLD,0,1,1,Suburban,,,,
agg_HHpBLD,0.5,2,1,Urban,,,,
agg_HHpBLD,2,1000,1.5,Urban Core,,,,
emp_den,0,100,1.5,Rural,,,,
emp_den,500,650,1,Rural Town,,,,
emp_den,100,500,1,Suburban,,,,
emp_den,500,2500,1.5,Urban,,,,
emp_den,2500,100000,1.5,Urban Core,,,,
agg_sback,75,100000,1.5,Rural,,,,
agg_sback,10,75,1,Rural Town,,,,
agg_sback,45,100,1,Suburban,,,,
agg_sback,10,45,1,Urban,,,,
agg_sback,0,10,1.5,Urban Core,,,,
agg_hght,0,24,1,Rural,,,,
agg_hght,0,36,1,Rural Town,,,,
agg_hght,0,48,1,Suburban,,,,
agg_hght,0,60,1.5,Urban,,,,
agg_hght,36,10000,1.5,Urban Core,,,,
agg_bldprc,0,5,1,Rural,,,,
agg_bldprc,5,10,1,Rural Town,,,,
agg_bldprc,10,25,1,Suburban,,,,
agg_bldprc,25,40,1,Urban,,,,
agg_bldprc,40,100,1,Urban Core,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
